judul,teks
"Sampah Demo Omnibus Law 20 Oktober di Jakarta Capai 2,1 Ton","Jakarta, CNN Indonesia --Dinas Lingkungan Hidup DKI Jakarta menyatakan sampah sisa demo tolak Omnibus Law Undang-Undang Cipta Kerja (UU Ciptaker), Selasa (20/10) kemarin mencapai 2,1 ton. Sampah tersebut dibersihkan sejak semalam hingga pagi tadi.""Begitu massa mulai membubarkan diri petugas langsung gerak cepat mengangkut sampah sisa aksi penyampaian pendapat yang ada di jalan, trotoar, dan JPO. Total 2,1 ton sampah kami angkut,"" kata Kepala Dinas Lingkungan Hidup DKI Jakarta Andono dalam keterangannya, Rabu (21/10).Andono menerjunkan sebanyak 200 petugas Dinas Lingkungan Hidup untuk membersihkan sampah-sampah sisa demo tersebut.Selain itu, ia mengerahkan 24 unit armada kebersihan untuk mengangkut sampah tersebut, terdiri dari 3 unit truk sampah tiper, 9 unit truk sampah anorganik, serta masing-masing 6 unit penyapu jalan otomatis dan unit pikap.Menurutnya, para petugas disebar ke sejumlah ruas jalan dan fasilitas umum yang berada di Silang Monas, Jalan Kebon Sirih, Tugu Tani, Jalan Budi Kemuliaan, dan Jalan Abdul Muis.""Meski kondisi hujan deras tidak menjadi halangan bagi petugas menjalankan tugas menjaga Jakarta kembali bersih. Saat ini penanganan sampah pasca aksi penyampaian pendapat telah tuntas,"" ujarnya.Sebelumnya, Gubernur DKI Jakarta Anies Baswedan memerintahkan jajarannya segera membersihkan sampah-sampah sisa demo tolak Omnibus Law UU Ciptaker. Anies menargetkan pembersihan selesai dalam rentang waktu 6 jam.""Jajaran selalu siap siaga, komitmen kami sekotor apapun sampah unjuk rasa, Jakarta harus bisa rapi dan bersih kembali dalam waktu kurang dari enam jam,"" tulis Anies dalam akun resminya @aniesbaswedan, Selasa (20/10)."
250 Juta Dosis Vaksin Covid-19 Akan Diproduksi Bertahap,"Jakarta, CNN Indonesia --PT Bio Farma (Persero) menyatakan mampu memproduksi vaksin Covid-19 dengan kapasitas 250 juta dosis secara bertahap.Corporate Secretary Bio Farma Bambang Heriyanto mengatakan pihaknya telah melakukan beberapa persiapan sebelum produksi vaksin usai mendapat izin dari Badan Pengawasan Obat dan Makanan (Badan POM).""Tentu persiapan dari awal sudah dipersiapakan. Ada quality control. Semua dilakukan secara hati-hati sesuai standard mutu,"" ujar Bambang Heriyanto dalam talk show 'Menjemput Asa Vaksin Covid-19' di Media Center Satgas Penanganan Covid-19 Graha BNPB Jakarta, Senin (19/10).Bambang menjelaskan bahwa jumlah produksi vaksin ini tidak bisa langsung mengacu kapasitas maksimal 250 juta dosis, tetapi dilakukan secara bertahap setiap bulan.""Sekitar 16 juta dosis sampai 17 juta dosis per bulan yang bisa diproduksi tergantung waktu suplai dari Sinovac,"" papar Bambang.Bambang menceritakan progres vaksin sudah memasuki uji klinis tahap ketiga di Universitas Padjajaran, Bandung, Jawa Barat. Sebanyak 1.620 orang relawan yang mendapatkan suntikan vaksin pertama sudah dinyatakan selesai semua. Kemudian berlanjut suntikan kedua pada 1.724 orang relawan dan 671 orang di antaranya sudah diambil darahnya.Bambang menambahkan, seluruh proses tersebut diharapkan selesai pada awal tahun depan.""Ini semua akan selesai di awal bulan Januari 2021,"" tuturnya.Koordinator Tim Pakar dan Juru Bicara Pemerintah untuk Penanganan Covid-19 Wiku Adisasmito menjelaskan bahwa vaksinasi adalah proses memasukkan vaksin ke dalam tubuh, dapat melalui suntik ataupun tetes.Setelah proses tersebut, tubuh bereaksi membentuk imunitas atau antibodi sehingga dapat melakukan perlawanan saat tertular virus corona. Sementara itu, imunisasi sendiri adalah proses ketika tubuh dapat memunculkan kekebalan tubuh karena terbentuknya antibodi terhadap imun yang dituju.Menurut Wiku, orang yang mendapatkan vaksinasi adalah orang sehat yang berisiko tinggi seperti dokter, tenaga kesehatan, perawat yang setiap hari berinteraksi dengan pasien Covid-19, serta kelompok yang memberikan pelayanan publik yang memiliki risiko bersentuhan dengan banyak orang.Terkait skema penyebaran vaksin, Wiku menjelaskan akan menentukan prioritas karena stok vaksin tidak datang dalam jumlah yang lengkap.""Karena produksi bertahap jadi pemberiannya pun dilakukan berdasarkan prioritas. Nanti ada pertimbangan tersendiri apakah diberikan pada orang yang berisiko tinggi dan juga diberikan ke daerah,"" jelasnya."
Resah Isu Vaksin dan Buruknya Komunikasi Anak Buah Jokowi,"Jakarta, CNN Indonesia --Kerisauan Presiden Joko Widodo soal isu vaksin Covid-19 diplintir hingga memicu demonstrasi seperti kasus Omnibus Law Cipta Kerja menegaskan pola komunikasi pemerintah yang kurang koordinasi dan tak terbuka kepada publik. Tak cukup cuma klaim, kejujuran didorong untuk memicu kepercayaan warga.Diberitakan sebelumnya, Jokowi mewanti-wanti anak buahnya untuk benar dan jelas dalam menyampaikan informasi terkait vaksin Virus Corona ke masyarakat. Ia tak ingin isu soal vaksin bernasib sama dengan isu Omnibus Law Cipta Kerja yang memicu demo.""Hati-hati disiapkan betul, siapa yang gratis dan siapa yang mandiri dijelaskan betul, harus detail. Jangan sampai nanti dihantam isu, diplintir kemudian kejadiannya bisa masyarakat demo lagi,"" kata Jokowi saat memimpin rapat terbatas yang disiarkan melalui kanal Youtube Sekretariat Presiden, Senin (19/10).Ia memang sempat menyebut demo menolak Omnibus Law dipicu oleh hoaks soal sejumlah poin aturan tersebut. Misalnya, soal isu penghapusan cuti panjang, pesangon, hingga upah minimum kabupaten/kota (UMK).""Saya melihat adanya unjuk rasa penolakan Undang-Undang Cipta Kerja dilatarbelakangi disinformasi substansi info dan hoaks media sosial,"" kata Jokowi, Jumat (9/10).Sejumlah orang pun ditangkap terkait dugaan penyebaran hoaks RUU Ciptaker itu. Masalahnya, polisi saat itu belum memegang naskah asli Omnibus Law yang disahkan DPR di Rapat Paripurna 5 Oktober.Menteri Komunikasi dan Informatika (Menkominfo) Johnny G Plate pun menyatakan informasi yang disiarkan pemerintah soal hoaks mengenai Omnibus Law Cipta Kerja tak perlu dibantah lagi.""Kalau pemerintah sudah bilang versi pemerintah itu (informasi) hoaks, ya dia hoaks. Kenapa membantah lagi?"" kata Johnny dalam tayangan Mata Najwa yang disiarkan oleh Trans7, Rabu (14/10).Direktur Yayasan Lembaga Bantuan Hukum Indonesia (YLBHI) Asfinawati yang menyebut bahwa justru pemerintah yang menciptakan hoaks dan disinformasi mengenai Omnibus Law Cipta Kerja karena menuding orang hoaks tanpa mendasarkan pada naskah asli.""Kalau hoaks dikatakan disinformasi, maka pemerintah sedang melakukan disinformasi, karena menuduh orang melakukan hoaks, tapi tidak memegang naskahnya,"" kata Asfina.""Tadi kita dengar DPR baru mengatakan, naskahnya baru dikirim hari ini (14 Oktober), penangkapan [pelaku dugaan penyebaran hoaks] itu tidak sah. Itu hoaks terbesar, dan dilakukan negara,"" lanjutnya.Terkait kerisauan Jokowi itu, pengamat komunikasi politik Emrus Sihombing menilai bahwa komunikasi publik Jokowi dan jajarannya dalam menangani Covid-19 masih perlu dibenahi.""Penanganan komunikasi publik tidak berjalan dengan baik. Hampir sama dengan Cipta Kerja kemarin. Bahkan saya melihat manajemen komunikasinya harus dibenahi,"" kata dia, kepada CNNIndonesia.com, Selasa (20/10).Bentuknya, kebijakan yang saling bertentangan di level atas pemerintah sejak awal masa pandemi. Ia mencontohkannya soal isu mudik.Diketahui, Jokowi sempat berpidato melarang mudik. Sementara, Menteri Perhubungan Budi Karya Sumadi melonggarkan pembatasan transportasi di musim mudik dengan mengizinkan berbagai moda untuk mengangkut penumpang, Mei lalu.""Para pejabat kita berbeda pandangan menjelang pulang mudik. perbedaan pendapat satu menteri ke menteri yang lain, belum lagi soal masker,"" jelas dia.Perbedaan pandangan ini, lanjut Emrus, berujung pada ketidakpercayaan masyarakat kepada pemerintah. Ia pun tak terkejut jika banyak hoaks beredar di publik dengan pola komunikasi pemerintah semacam itu.""Masih ada masyarakat belum percaya ada Covid. Artinya strategi komunikasi belum maksimal. Artinya sederhana, kita lihat apakah udah orang yang tepat yang ditempatkan di komunikasi publik,"" jelas dia.""Tidak heran ada pernyataannya kalau banyak informasi yang sudah hoaks dan ada masyarakat tidak paham konsep dan dampaknya,"" lanjut dia.Emrus pun menyarankan, pertama, koordinasi semua humas kementerian menjadi satu satu dan langsung di bawah Presiden; kedua, penggunaan tokoh adat dan tokoh masyarakat, tak cuma influencer, untuk menyosialisasikan vaksin Covid-19.""Jadi bukan hanya di media lini atas seperti TV dan radio. Kita harus mengkomunikasikan sesuatu sesuai dengan kearifan lokal seperti gandeng tokoh adat di daerah selain menggaet selebgram,"" tutup dia.KejujuranEpidemiolog dari Griffith University Dicky Budiman menilai pemerintah harus jujur dalam mengkomunikasikan vaksin di Indonesia, terutama terkait riset.""Tentunya yang harus disampaikan kepada publik informasi perkembangan riset vaksinnya misalnya baru baru ini dari Brazil ada yang berbeda itu harus disampaikan data ilmiahnya,"" kata Dicky kepada CNNIndonesia.com, Selasa (20/10).Tak hanya soal sisi positif vaksin. Masyarakat, kata Dicky, juga perlu tahu sisi negatif dari vaksin tersebut dengan komunikasi yang baik demi membangun kepercayaan masyarakat kepada pemerintah.""Misalnya ada vaksin yang percobaan vaksin yang belum tiga kali, atau belum dinyatakan aman dan efektif. Ini yang harus diketahui oleh publik. Sehingga ada sisi trust yang disampaikan,"" terang Dicky.""Ini wajib disampaikan sehingga ketika nanti pemerintah melakukan vaksinasi masyarakat sudah terbangun kepercayaan,"" lanjut dia.Kata Dicky, pemerintah harus terus menerus melakukan sosialisasi sebelum, saat, dan setelah vaksinasi.Tak ketinggalan, ia meminta agar pemerintah terbuka terkait soal harga hingga bahan bahan yang digunakan dalam vaksin tersebut.""Harga harus terbuka ketika menggunakan dana rakyat. Rakyat juga harus tahu. Begitu juga soal halal dan non halal, dari sekarang mungkin lembaga terkait bisa dikomunikasikan. Jangan terlambat,"" tutup dia."
Empat Daerah Zona Merah Covid-19 di Jawa Tengah,"Jakarta, CNN Indonesia --Sebanyak empat daerah berstatus zona merah atau risiko tinggi penularan virus corona (Covid-19) di Jawa Tengah. Data tersebut berdasarkan analisis Satuan Tugas Percepatan Penanganan Covid-19 per 18 Oktober.Dari data yang ditampilkan Satgas Covid-19, empat daerah zona merah Jawa Tengah itu meliputi Kabupaten Batang, Kabupaten Pati, Kabupaten Kendal, dan Kabupaten Wonosobo. Secara geografis, Batang, Kendal, dan Wonosobo berdekatan.Peta zonasi risiko daerah dihitung berdasarkan beberapa indikator dengan menggunakan skoring dan pembobotan. Indikator tersebut meliputi epidemiologi, surveilans kesehatan masyarakat, dan pelayanan kesehatan.Berdasarkan data Pemprov Jateng, jumlah kumulatif kasus positif Covid-19 di empat kabupaten tersebut bervariasi per Selasa (20/10). Kasus positif Covid-19 di Kabupaten Batang sebanyak 547 orang, Kabupaten Wonosobo sebanyak 1.008, Kabupaten Kendal mencapai 1.319 orang, dan Kabupaten Pati sebanyak 591.Selain zona merah Covid-19, di wilayah yang dipimpin Ganjar Pranowo itu juga terdapat zona oranye atau risiko sedang penyebaran virus corona. Terdapat 27 daerah zona oranye, meliputi Kota Solo, Kota Semarang, Kota Pekalongan, Kota Tegal, Karanganyar, Kudus.Kemudian Banjarnegara, Temanggung, Pemalang, Tegal, Kota Magelang, Kebumen, Sukoharjo, Grobogan, Brebes, Blora, Pekalongan, Magelang, Boyolali, Purworejo, Sragen, Rembang, Demak, Semarang, Jepara, Klaten, hinggal Kota Salatiga.Sementara zona kuning atau risiko rendah penyebaran Covid-19 hanya empat daerah, yakni Wonogiri, Banyumas, Purbalingga, dan Cilacap. Jawa Tengah tak memiliki daerah zona hijau Covid-19.Secara keseluruhan, total kasus positif Covid-19 di Jawa Tengah mencapai 30.854 orang per Selasa (20/10). Dari jumlah tersebut, 25.075 orang sembuh, 2.338 meninggal dunia, dan 3.441 orang masih dalam perawatan. Sementara itu suspek Covid-19 sebanyak 3.284 orang.Jumlah zona merah Covid-19 di Jateng pada data per 18 Oktober menurun dibandingkan data pekan sebelumnya. Pekan lalu sebanyak delapan kabupaten/kota masuk zona merah, yakni Kota Pekalongan, Kota Tegal, Blora, Pati, Pekalongan, Kebumen, Sukoharjo, dan Wonosobo."
Tito Bahas Libur Panjang Akhir Oktober Bareng Kepala Daerah,"Jakarta, CNN Indonesia --Menteri dalam Negeri (Mendagri) Tito Karnavian bakal menggelar rapat dengan sejumlah kepala daerah mengantisipasi pergerakan warga saat libur panjang akhir pekan, 28 Oktober sampai 1 November 2020 pada hari ini.""Besok (hari ini) kita akan melakukan video conference dengan kepala daerah, khusus membahas masalah antisipasi libur panjang ini,"" kata Tito dalam konferensi daring di YouTube KPK, Selasa (20/10).Tito tetap meminta masyarakat, terutama yang tinggal di zona merah penyebaran Covid-19 tak bepergian ke luar kota. Ia juga mengingatkan potensi cuaca yang memburuk seperti diprediksi BMKG saat libur panjang akhir Oktober nanti.Mengutip BMKG, kata Tito, beberapa wilayah di Indonesia akan masuk puncak musim hujan yang berpotensi menimbulkan banjir dan tanah longsor hingga Oktober mendatang.""Kita menghimbau kepada masyarakat terutama di daerah merah seperti Jakarta ini, tolonglah kalau bisa berlibur di sini saja, enggak usah pulang kampung,"" ujarnya.Meskipun demikian, mantan kapolri itu meminta warga yang terpaksa harus ke luar kota karena urusan mendesak terlebih dahulu melakukan tes swab atau rapid. Tito tak ingin warga yang berpergian saat libur panjang menularkan virus ke masyarakat lainnya.Selain itu, Tito mendorong pemerintah daerah membuat sistem pertahanan agar wilayahnya tak menjadi lokasi penularan virus. Ia juga meminta pemerintah setempat memastikan warga yang datang sudah melakukan tes swab atau rapid.""Syukur mereka bisa menunjukkan suratnya. Kalau belum dites, ya sebaiknya kan keluarganya mendorong. Tapi ya kita enggak sarankan pulang kampung. Kita sarankan ya, berlibur di tempat masing-masing,"" katanya.Sebelumnya, pemerintah memutuskan tak membatalkan cuti bersama Maulid Nabi Muhammad SAW pada 28 dan 30 Oktober. Maulid Nabi jatuh pada 29 Oktober. Sementara 31 Oktober dan 1 November merupakan hari Sabtu dan Minggu.Dengan demikian ada libur panjang selama 5 hari, mulai 28 Oktober sampai 1 November.Presiden Joko Widodo (Jokowi) meminta jajarannya mengantisipasi libur panjang akhir bulan ini agar tak terjadi lonjakan kasus positif virus corona (Covid-19). Menurutnya, terjadi lonjakan kasus Covid-19 selepas libur panjang satu setengah bulan yang lalu.""Sebab itu ini perlu kita bicarakan, agar kegiatan libur panjang dan cuti bersama jangan sampai berdampak kenaikan kasus Covid,"" kata Jokowi.Gubernur DKI Jakarta Anies Baswedan juga khawatir libur panjang akhir Oktober berpotensi menimbulkan penyebaran Covid-19 klaster keluarga. Potensi itu ia buat berdasarkan analisa lonjakan penyebaran Covid-19 saat libur panjang pada Agustus lalu."
Tumpah Ruah Demo Omnibus Law Warnai Satu Tahun Jokowi-Ma'ruf,"Jakarta, CNN Indonesia --Rangkaian demonstrasi menolak Omnibus Law Undang-Undang Cipta Kerja (UU Ciptaker) yang bertepatan dengan satu tahun pemerintahan Joko Widodo-Ma'ruf Amin terjadi di sejumlah daerah, Selasa (20/10) kemarin.Elemen buruh dan mahasiswa bersatu turun ke jalan menuntut Jokowi membatalkan UU Ciptaker dengan menerbitkan peraturan pemerintah pengganti undang-undang (perppu).Di Jakarta, aksi terpusat di Patung Arjuna Wiwaha, Jalan Medan Merdeka Barat. Massa sebenarnya berniat menyampaikan orasi di seberang Istana Negara. Namun, mereka terhalang blokade aparat keamanan.Mahasiswa dari berbagai universitas yang tergabung dalam BEM SI berbaur dengan Aliansi Gerakan Buruh Bersama Rakyat (GEBRAK).Dalam aksi kemarin, GEBRAK menyerukan masyarakat untuk melakukan pembangkangan sipil terhadap UU Cipta Kerja. Mereka juga mengajak masyarakat turun ke jalan secara damai dan lantang untuk memberikan tekanan politik kepada pemerintah.Dengan tekanan itu, diharapkan Jokowi mengeluarkan perppu membatalkan UU yang disahkan oleh DPR pada 5 Oktober lalu.Sebanyak 10.587 pasukan gabungan TNI-Polri diterjunkan untuk mengawal demo yang bertepatan dengan satu tahun Jokowi-Ma'ruf. Mahasiswa dan buruh pun berangsur bubar saat sore hari. Aksi kali ini berjalan damai.Mahasiswa akan kembali turun ke jalan pada hari Sumpah Pemuda 28 Oktober mendatang. Aksi tetap membawa tuntutan agar Jokowi mencabut UU Ciptaker.Namun, massa yang tak memakai almamater terlihat melakukan sejumlah provokasi selepas mahasiswa dan buruh meninggalkan lokasi. Bahkan, mereka berupaya menembus barikade polisi yang menyekat Jalan Medan Merdeka Barat.Mereka melempar botol air mineral hingga batu ke arah polisi. Namun insiden tersebut tak berlangsung lama, hingga kemudian massa berhasil dibubarkan prajurit Marinir TNI AL sekitar pukul 18.00 WIB.Meskipun aksi berjalan aman, aparat kepolisian menangkap puluhan pemuda yang hendak bergabung dalam demo kemarin. Kapolda Metro Jaya Inspektur Jenderal Nana Sudjana mengatakan sebanyak 33 orang diamankan. Nana tak mau pihaknya disebut menangkap.""Sampai saat ini ada sekitar 33 orang yang kami amankan. Ini kami amankan, bukan kami tangkap,"" kata Nana kepada wartawan di sekitar lokasi demonstrasi di Patung Kuda Arjuna Wiwaha, Jakarta, Selasa (20/10).Di Daerah KondusifAksi tolak Omnibus Law bertepatan dengan satu tahun Jokowi-Ma'ruf juga terjadi di Kota Serang, Bandung, Semarang, Yogyakarta, hingga Surabaya.Di Bandung, massa buruh dan mahasiswa dari berbagai organisasi dan serikat pekerja pabrik memusatkan aksi di perempatan Cileunyi, Kabupaten Bandung, Jawa Barat.Massa pun memenuhi ruas Jalan Raya Rancaekek yang mengarah ke Cileunyi. Massa yang tergabung dalam Forum Rakyat Membatalkan Omnibus Law (Formo) itu sempat menutup arus lalu lintas di Jalan Raya Bandung-Garut.Sementara itu, massa dari elemen buruh, petani, mahasiswa yang tergabung dalam Gerakan Tolak Omnibus Law (Getol) Jawa Timur melakukan aksi di depan Gedung Negara Grahadi, Selasa (20/10) sore.Sedangkan di Yogyakarta, massa yang didominasi oleh mahasiswa memadati perempatan Wisdom Park Universitas Gadjah Mada (UGM). Aksi dimulai dengan longmarch sambil bergandengan tangan dan menyerukan yel-yel seperti 'no justice, no peace'.Serupa, di Semarang, aksi demo menolak omnibus law UU Ciptaker yang diinisiasi elemen buruh dan mahasiswa berlangsung di depan Kantor Gubernur dan DPRD Jawa Tengah.Keseluruhan aksi tolak Omnibus Law yang bertepatan dengan satu tahun pemerintahan Jokowi-Ma'ruf berjalan kondusif dan tak menimbulkan kericuhan. Tak terjadi pula perusakan fasilitas umum seperti yang sempat terjadi pada demo (8/10) lalu.Buruh dan mahasiswa berencana melakukan aksi tiga hari berturut-turut hingga hingga 22 Oktober besok."
Demo Tolak Omnibus Law di Luar Jakarta Berjalan Kondusif,"Massa dari berbagai organisasi buruh mengikuti aksi blokir Jalan Nasional dalam rangka menolak UU Cipta Kerja di Cileunyi, Kabupaten Bandung, Jawa Barat, Selasa (20/10/2020). Dalam aksinya, buruh menuntut agar Presiden Joko Widodo tidak menandatangani RUU Cipta Kerja serta mendesak Presiden untuk mengeluarkan Perppu. (ANTARA FOTO/Raisan Al Farisi/foc.)"
PWNU Jatim Minta Warga NU Tak Ikut Demo Omnibus Law,"Surabaya, CNN Indonesia --Pengurus Wilayah Nahdlatul Ulama (PWNU) Jawa Timur meminta warga dan elemen atau badan otonom (Banom) NU di Jatim untuk tidak turut serta dalam aksi penolakan Omnibus Law Cipta Kerja.Hal itu dikatakan Ketua PWNU Jatim KH Marzuqi Mustamar kepada sejumlah Banom NU di antaranya Ikatan Pelajar Nahdlatul Ulama (IPNU), Gerakan Pemuda Ansor, Pergerakan Mahasiswa Islam Indonesia (PMII) dan sejumlah elemen NU lainnya.""Kepada warga NU, para santri, para jemaah, sahabat-sahabat, rekan-rekan, IPNU, IPPNU, ANSOR, Fatayat, Pagarnusa, PMII, PSHT semua saya mohon tidak usah ikut demo, demi menjaga ketertiban, keamanan saya mohon enggak usah ikut demo,"" kata Marzuqi melalui keterangan tertulis, Selasa (20/10).Ia meminta agar situasi ketertiban dan keamanan di negeri ini tetap terjaga. Marzuqi pun meminta Nahdliyin mempercayakannya kepada PBNU melalui upaya judicial review ke Mahkamah Konstitusi (MK).""Percayakan kepada PBNU yang sama-sama berjuang untuk merevisi atau memperbaiki, satu dua ayat atau pasal yang dianggap tidak adil atau dianggap salah dari Omnibus Law lewat MK,"" ucapnya.Di Jawa Timur sendiri, aksi penolakan Omnibus Law terus berlangsung di beberapa kabupaten/kota. Salah satunya, aksi unjuk rasa itu juga terjadi di Kota Pahlawan.Sejumlah elemen buruh, tani dan mahasiswa yang tergabung dalam Gerakan Tolak Omnibus Law (Getol) Jawa Timur, bakal melangsungkan aksi unjuk rasa di Surabaya selama empat hari berturut-turut, mulai Selasa (20/10) hingga Jumat (23/10) mendatang.Diketahui, Pengurus Besar Nahdlatul Ulama (PBNU) berencana mengajukan uji materi Omnibus Law Cipta Kerja ke MK. Meskipun, Menteri Tenaga Kerja Ida Fauziah dan Menteri Sekretaris Kabinet Pratikno sudah menyambangi kediaman Ketua Umum PBNU Said Aqil Siradj."
Polling CNN: Mayoritas Habiskan Libur 28-30 Oktober di Rumah,"Jakarta, CNN Indonesia --Pemerintah menetapkan 28-30 Oktober sebagai libur panjang atau cuti bersama. Cuti bersama itu dimulai pada Rabu hingga Jumat pekan depan, dilanjutkan dengan hari libur Sabtu dan Minggu. Presiden Joko Widodo pun mengimbau agar libur panjang tak jadi celah peningkatan kasus Covid-19.CNNIndonesia.com mengadakan polling di akun Twitter @CNNIndonesia, menanyakan sikap pembaca atas kebijakan cuti bersama tersebut. Hasilnya, sebanyak 77,9 persen atau 832 responden setuju cuti bersama tetap berlaku. Sedangkan 237 responden lainnya tidak setuju.Polling itu dibuka Senin (19/10), pukul 12.05 dan berakhir pukul 16.05 WIB. Polling diikuti 1.069 pembaca melalui akun Twitter.Dalam polling lain CNNIndonesia.com menanyakan kegiatan pembaca selama libur panjang dan cuti bersama nanti. Hasilnya, 68,6 persen atau sekitar 497 responden mengaku hanya akan beraktivitas di rumah selama libur panjang.Sedangkan 15,6 persen atau sekitar 113 responden lainnya berencana pergi ke tempat wisata untuk mengisi hari libur.Kemudian 11,4 persen atau sekitar 82 responden bakal berkunjung ke rumah kerabat. Dan 4,4 persen atau sekitar 31 responden memilih jalan-jalan ke mal di hari liburnya. Angka ini didapat berdasarkan polling melalui akun Twitter @CNNIndonesia yang diikuti oleh 725 responden.Sebelumnya, Presiden Jokowi mengungkapkan kekhawatiran akan lonjakan kasus Covid-19 akibat libur panjang dan cuti bersama 28 Oktober nanti. Ia mengatakan kekhawatiran tersebut belajar dari pengalaman libur panjang sebelumnya.""Kita memiliki pengalaman kemarin libur panjang pada satu setengah bulan yang lalu. Setelah itu terjadi kenaikan agak tinggi,"" katanya dikutip melalui Youtube Sekretariat Presiden.Pada akhir Agustus lalu, DKI Jakarta mencatat lonjakan kasus karena libur panjang 16-22 Agustus. Tercatat kasus positif harian mencapai 6.000-1.000 dalam sepekan terakhir di bulan itu.Penambahan kasus tertinggi didapati pada 30 Agustus dengan 1.114 kasus. Rasio positif kasus corona di Jakarta pun tercatat tinggi, yakni mencapai 9,7 persen pada 31 Agustus. Padahal standar rasio positif dunia adalah 5 persen.""Kami sampaikan mayoritas kasus baru ketika dilacak kemungkinan penularannya antara 16-22 Agustus, ini adalah saat liburan panjang dan long weekend dan tingkat penularannya cukup tinggi pada periode tersebut,"" kata juru bicara Satuan Tugas Penanganan Covid-19 Wiku Adisasmito, Senin (31/8)."
"Belum Ada Vaksin Lolos Uji, Ahli Ingatkan Potensi Bahaya","Jakarta, CNN Indonesia --Epidemiolog Fakultas Kesehatan Masyarakat Universitas Indonesia (FKM UI) Pandu Riono mewanti pemerintah untuk berhati-hati dalam melaksanakan program vaksin virus corona.Pasalnya, kata dia, hingga kini belum ada satupun vaksin Covid-19 yang telah lolos uji klinis fase 3 dan disetujui penggunaannya oleh Organisasi Kesehatan Dunia (WHO).Pandu menjelaskan, tiga kandidat vaksin yang akan digunakan di Indonesia baru saja selesai melalui tahapan uji klinis fase 3. Tapi bukan berarti vaksin Covid-19 tersebut aman digunakan, karena penggunaan di beberapa negara masih berlandaskan pada izin penggunaan darurat atau emergency use authorization (EUA).""Belum ada vaksin covid-19 yang diapprove WHO untuk digunakan, dan ini bahaya, karena kita gak tahu efek dan keamanan vaksin Covid-19 yang akan digunakan nanti,"" terang Pandu kepada CNNIndonesia.com, Selasa (20/10).Penggunaan EUA pada vaksin Covid-19 juga berpotensi membahayakan, sebab belum ada hasil uji klinis yang bisa membuktikan bahwa vaksin tersebut aman.Selain itu Pandu menerangkan, EUA sesungguhnya tidak tepat digunakan sebagai dasar pemakaian vaksin Covid-19 di tengah pandemi. Ini karena masa darurat Covid-19 di Indonesia masih bisa ditangani dengan kembali pada disiplin protokol kesehatan.Itu sebab ia menilai, pemerintah pun tidak perlu terburu-buru membeli vaksin Covid-19 yang belum teruji keamanan dan efektivitasnya.Justru penggunaan vaksin Covid-19 yang belum terbukti aman dapat berpotensi menimbulkan masalah baru lantaran belum diketahui efek samping penggunaan. Potensi kemunculan efek samping karena suntik vaksin covid-19, menurut Pandu, tidak bisa diabaikan.""Bahayanya karena kita tidak tahu berapa besar efek dan keamanannya, itu kan hanya bisa dipelajari setelah fase uji klinik tahap tiga, karena belum ada kita nggak tau apa-apa. Kalau sudah selesai ada laporannya, laporannya akan disampaikan ke WHO, akan ditinjau oleh para ahli, baru ada keputusan boleh dipakai atau tidak,"" jelas dia lagi.Lebih lanjut, Pandu menyebut Kementerian Kesehatan (Kemenkes) memberikan klaim tidak berdasar bahwa kandidat vaksin covid-19 telah selesai uji klinis. Sebab menurut dia, belum ada hasil dari uji klinis tersebut.""Kemenkes itu klaimnya tidak berdasar, tidak ada bukti [bahwa vaksin sudah selesai uji klinis fase 3], apa buktinya?"" tanya Pandu.Sebelumnya, Direktur Jenderal Pencegahan dan Pengendalian Penyakit Kementerian Kesehatan Achamad Yurianto mengatakan kegiatan vaksinasi Covid-19 akan dilakukan di Indonesia pada akhir November mendatang. Tiga kandidat vaksin Covid-19 yang bakal dipakai antara lain Sinovac, Sinopharm (G42), dan CanSino.Ketiga kandidat vaksin yang akan didatangkan dari China tersebut diklaim telah selesai uji klinis fase 3. Namun meski telah selesai melalui uji klinis, belum ada kandidat vaksin covid-19 yang sudah disetujui WHO.Pemerintah Indonesia juga masih berupaya mendapatkan sharing data hasil penelitian uji klinis fase 3 untuk tiga kandidat vaksin Covid-19 tersebut. Langkah ini diperlukan untuk mengkaji efektivitas dan keamanan vaksin tersebut di Indonesia.Dengan begitu, BPOM Indonesia bisa memberikan izin penggunaan darurat."
